证券代码,证券简称,上市日期,"华证ESG评级
[交易日期] 2009-12-31","华证ESG评级
[交易日期] 2010-12-31","华证ESG评级
[交易日期] 2011-12-31","华证ESG评级
[交易日期] 2012-12-31","华证ESG评级
[交易日期] 2013-12-31","华证ESG评级
[交易日期] 2014-12-31","华证ESG评级
[交易日期] 2015-12-31","华证ESG评级
[交易日期] 2016-12-31","华证ESG评级
[交易日期] 2017-12-31","华证ESG评级
[交易日期] 2018-12-31","华证ESG评级
[交易日期] 2019-12-31","华证ESG评级
[交易日期] 2020-12-31",2009_量化值,2010_量化值,2011_量化值,2012_量化值,2013_量化值,2014_量化值,2015_量化值,2016_量化值,2017_量化值,2018_量化值,2019_量化值,2020_量化值
000045.SZ,深纺织A,1994-08-15,BBB,BBB,BBB,B,BB,BB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,1,2,2,3,3,3,3,3,3
000046.SZ,泛海控股,1994-09-12,AAA,AA,AA,AA,AA,AA,AA,AA,AA,AA,A,BBB,6,5,5,5,5,5,5,5,5,5,4,3
000048.SZ,京基智农,1994-11-01,BBB,BBB,BBB,BBB,BB,BB,BB,BB,BB,BB,CC,CCC,3,3,3,3,2,2,2,2,2,2,0,0
000049.SZ,德赛电池,1995-03-20,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
000050.SZ,深天马A,1995-03-15,BBB,BBB,BBB,BBB,AA,AA,AA,AA,AA,AA,AA,AA,3,3,3,3,5,5,5,5,5,5,5,5
000055.SZ,方大集团,1996-04-15,A,A,A,A,A,BBB,BBB,BBB,BBB,A,AA,AAA,4,4,4,4,4,3,3,3,3,4,5,6
000056.SZ,皇庭国际,1996-07-08,A,BBB,BB,BB,BBB,BBB,BBB,A,A,A,BBB,BB,4,3,2,2,3,3,3,4,4,4,3,2
000058.SZ,深赛格,1996-12-26,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,A,A,3,3,3,3,3,3,3,3,3,4,4,4
000059.SZ,华锦股份,1997-01-30,BBB,AA,AA,AA,AA,AA,A,BBB,BBB,BBB,A,A,3,5,5,5,5,5,4,3,3,3,4,4
000060.SZ,中金岭南,1997-01-23,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
000061.SZ,农产品,1997-01-10,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
000062.SZ,深圳华强,1997-01-30,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
000063.SZ,中兴通讯,1997-11-18,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
000065.SZ,北方国际,1998-06-05,BBB,BB,BBB,BBB,AA,AA,AA,AA,AA,AA,A,A,3,2,3,3,5,5,5,5,5,5,4,4
000066.SZ,中国长城,1997-06-26,BBB,BBB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,3,3,5,5,5,5,5,5,5,5,5,5
000068.SZ,华控赛格,1997-06-11,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,3,3,3,3,3,3,3,3,3,3,3,4
000069.SZ,华侨城A,1997-09-10,AAA,AAA,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,6,6,5,6,6,6,6,6,6,6,6,6
000070.SZ,特发信息,2000-05-11,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,BBB,BBB,3,3,3,3,3,3,3,3,3,4,3,3
000078.SZ,海王生物,1998-12-18,A,A,A,A,A,BBB,BBB,BBB,BBB,A,BBB,B,4,4,4,4,4,3,3,3,3,4,3,1
000088.SZ,盐田港,1997-07-28,AA,AA,AA,AA,AA,A,AA,AA,AA,AA,AA,AA,5,5,5,5,5,4,5,5,5,5,5,5
000089.SZ,深圳机场,1998-04-20,AA,AA,AA,AA,AA,BBB,BBB,BBB,BBB,BBB,BBB,BBB,5,5,5,5,5,3,3,3,3,3,3,3
000090.SZ,天健集团,1999-07-21,BB,BB,BB,BB,BB,BBB,BBB,A,BBB,A,A,AA,2,2,2,2,2,3,3,4,3,4,4,5
000096.SZ,广聚能源,2000-07-24,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
