证券代码,证券简称,上市日期,"华证ESG评级
[交易日期] 2009-12-31","华证ESG评级
[交易日期] 2010-12-31","华证ESG评级
[交易日期] 2011-12-31","华证ESG评级
[交易日期] 2012-12-31","华证ESG评级
[交易日期] 2013-12-31","华证ESG评级
[交易日期] 2014-12-31","华证ESG评级
[交易日期] 2015-12-31","华证ESG评级
[交易日期] 2016-12-31","华证ESG评级
[交易日期] 2017-12-31","华证ESG评级
[交易日期] 2018-12-31","华证ESG评级
[交易日期] 2019-12-31","华证ESG评级
[交易日期] 2020-12-31",2009_量化值,2010_量化值,2011_量化值,2012_量化值,2013_量化值,2014_量化值,2015_量化值,2016_量化值,2017_量化值,2018_量化值,2019_量化值,2020_量化值
002044.SZ,美年健康,2005-05-18,BBB,B,BB,B,BB,BB,BB,A,BBB,A,A,BBB,3,1,2,1,2,2,2,4,3,4,4,3
002045.SZ,国光电器,2005-05-23,AA,A,BBB,BBB,BBB,BBB,BB,BB,BBB,BB,BBB,BBB,5,4,3,3,3,3,2,2,3,2,3,3
002046.SZ,国机精工,2005-05-26,BBB,BBB,BBB,BBB,A,AA,AA,AA,AA,AA,AA,AA,3,3,3,3,4,5,5,5,5,5,5,5
002047.SZ,宝鹰股份,2005-05-31,BBB,BBB,BB,BB,BBB,BB,BBB,BBB,BBB,BBB,B,BB,3,3,2,2,3,2,3,3,3,3,1,2
002048.SZ,宁波华翔,2005-06-03,AA,A,BBB,BBB,BBB,A,A,A,BBB,BBB,BBB,A,5,4,3,3,3,4,4,4,3,3,3,4
002049.SZ,紫光国微,2005-06-06,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,3,3,3,3,3,3,3,3,3,3,2,3
002050.SZ,三花智控,2005-06-07,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
002051.SZ,中工国际,2006-06-19,BBB,BBB,BBB,BBB,AA,AA,AA,AA,AA,AA,AA,AA,3,3,3,3,5,5,5,5,5,5,5,5
002052.SZ,*ST同洲,2006-06-27,BBB,BBB,BBB,CCC,B,B,BB,BB,BBB,BB,B,B,3,3,3,0,1,1,2,2,3,2,1,1
002053.SZ,云南能投,2006-06-27,BBB,BBB,B,BB,BBB,A,A,A,AA,AA,A,AA,3,3,1,2,3,4,4,4,5,5,4,5
002054.SZ,德美化工,2006-07-25,AA,A,BBB,AA,AA,AA,AA,AA,AA,AA,A,AA,5,4,3,5,5,5,5,5,5,5,4,5
002055.SZ,得润电子,2006-07-25,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BB,BB,BB,3,3,3,3,3,3,3,3,2,2,2,2
002056.SZ,横店东磁,2006-08-02,AA,AA,AA,AA,A,A,A,A,AA,AA,AA,AA,5,5,5,5,4,4,4,4,5,5,5,5
002057.SZ,中钢天源,2006-08-02,BBB,BBB,BBB,BBB,BB,BBB,BBB,BBB,A,A,BB,BB,3,3,3,3,2,3,3,3,4,4,2,2
002058.SZ,*ST威尔,2006-08-02,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
002059.SZ,云南旅游,2006-08-10,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,BBB,A,3,3,3,3,3,3,3,3,2,3,3,4
002060.SZ,粤水电,2006-08-10,BBB,BBB,BBB,BB,BB,BBB,BB,BB,BBB,BBB,BBB,BBB,3,3,3,2,2,3,2,2,3,3,3,3
002061.SZ,浙江交科,2006-08-16,BBB,BBB,BBB,BB,BB,BBB,BBB,A,BB,BBB,A,BB,3,3,3,2,2,3,3,4,2,3,4,2
002062.SZ,宏润建设,2006-08-16,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,A,BBB,5,5,5,5,5,5,5,5,5,5,4,3
002063.SZ,远光软件,2006-08-23,AA,AA,AAA,AA,AAA,AAA,AA,AA,AA,AA,AAA,AAA,5,5,6,5,6,6,5,5,5,5,6,6
002064.SZ,华峰化学,2006-08-23,BBB,A,A,BB,A,AA,A,A,AA,AA,AA,AA,3,4,4,2,4,5,4,4,5,5,5,5
002065.SZ,东华软件,2006-08-23,BBB,BBB,BBB,BBB,A,A,AAA,AAA,AAA,A,A,AA,3,3,3,3,4,4,6,6,6,4,4,5
002066.SZ,瑞泰科技,2006-08-23,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,A,A,3,3,3,3,3,3,3,3,3,4,4,4
002067.SZ,景兴纸业,2006-09-15,BBB,BBB,BBB,BBB,A,BB,BBB,BBB,BBB,AA,AA,AA,3,3,3,3,4,2,3,3,3,5,5,5
002068.SZ,黑猫股份,2006-09-15,BBB,BBB,BBB,BBB,BB,B,B,BB,BBB,BBB,BB,BBB,3,3,3,3,2,1,1,2,3,3,2,3
002069.SZ,獐子岛,2006-09-28,BBB,BBB,AA,AA,A,A,A,BBB,AA,B,CCC,CCC,3,3,5,5,4,4,4,3,5,1,0,0
002072.SZ,*ST凯瑞,2006-10-18,B,BB,BBB,BBB,BBB,B,B,B,B,B,CC,CC,1,2,3,3,3,1,1,1,1,1,0,0
002073.SZ,软控股份,2006-10-18,BBB,BBB,BBB,AA,AA,AA,AA,A,A,A,A,A,3,3,3,5,5,5,5,4,4,4,4,4
002074.SZ,国轩高科,2006-10-18,BBB,BBB,BB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,BBB,3,3,2,3,3,3,3,3,3,3,4,3
002075.SZ,沙钢股份,2006-10-25,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,BBB,A,BBB,BBB,3,3,3,3,3,3,2,3,3,4,3,3
002076.SZ,*ST雪莱,2006-10-25,A,BBB,A,A,BBB,BBB,A,A,BBB,BB,B,B,4,3,4,4,3,3,4,4,3,2,1,1
002077.SZ,*ST大港,2006-11-16,A,A,A,A,BBB,A,A,BBB,A,A,A,A,4,4,4,4,3,4,4,3,4,4,4,4
002078.SZ,太阳纸业,2006-11-16,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AAA,AAA,5,5,5,5,5,5,5,5,5,5,6,6
002079.SZ,苏州固锝,2006-11-16,BBB,B,BB,BBB,AA,AA,A,A,AA,AA,AA,AA,3,1,2,3,5,5,4,4,5,5,5,5
002080.SZ,中材科技,2006-11-20,AA,AA,AA,AA,AA,A,BBB,A,A,AA,AA,A,5,5,5,5,5,4,3,4,4,5,5,4
002081.SZ,金螳螂,2006-11-20,A,A,BB,A,A,A,A,A,A,AA,AA,AA,4,4,2,4,4,4,4,4,4,5,5,5
002082.SZ,万邦德,2006-11-20,BBB,BBB,B,A,A,AA,AA,AA,AA,BBB,BBB,BBB,3,3,1,4,4,5,5,5,5,3,3,3
002083.SZ,孚日股份,2006-11-24,A,A,A,A,A,A,A,A,A,A,BBB,B,4,4,4,4,4,4,4,4,4,4,3,1
002084.SZ,海鸥住工,2006-11-24,AA,AA,AA,AA,AA,A,AA,AA,A,A,A,AA,5,5,5,5,5,4,5,5,4,4,4,5
002085.SZ,万丰奥威,2006-11-28,BBB,BBB,BBB,BBB,BBB,BBB,BBB,B,BB,BB,BB,BB,3,3,3,3,3,3,3,1,2,2,2,2
002086.SZ,*ST东洋,2006-11-28,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,C,C,3,3,3,3,3,3,3,3,3,3,0,0
002087.SZ,新野纺织,2006-11-30,BBB,BBB,BBB,BBB,BBB,BBB,A,BBB,AA,AA,AA,AA,3,3,3,3,3,3,4,3,5,5,5,5
002088.SZ,鲁阳节能,2006-11-30,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,2,3,3,3,3,3
002089.SZ,ST新海,2006-11-30,BBB,BBB,BBB,BBB,BBB,BBB,BB,B,BB,BB,CCC,CC,3,3,3,3,3,3,2,1,2,2,0,0
002090.SZ,金智科技,2006-12-08,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,3,3,3,3,3,3,3,3,3,3,3,4
002091.SZ,江苏国泰,2006-12-08,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
002092.SZ,中泰化学,2006-12-08,BBB,AA,BBB,A,A,AA,AA,AA,BBB,A,A,A,3,5,3,4,4,5,5,5,3,4,4,4
002093.SZ,国脉科技,2006-12-15,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,A,AA,5,5,5,5,5,5,5,5,5,5,4,5
002094.SZ,青岛金王,2006-12-15,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BB,3,3,3,3,3,3,3,3,3,3,2,2
002095.SZ,生意宝,2006-12-15,A,A,A,BBB,A,BBB,BBB,BB,BBB,BBB,BBB,BBB,4,4,4,3,4,3,3,2,3,3,3,3
002096.SZ,南岭民爆,2006-12-22,BBB,B,BB,BB,A,BBB,BBB,BBB,BBB,A,BBB,A,3,1,2,2,4,3,3,3,3,4,3,4
002097.SZ,山河智能,2006-12-22,BBB,A,A,BBB,BBB,BBB,BB,BB,BBB,BBB,BBB,BBB,3,4,4,3,3,3,2,2,3,3,3,3
002098.SZ,浔兴股份,2006-12-22,AA,AA,AA,AA,A,AA,AA,AA,AA,A,BB,BBB,5,5,5,5,4,5,5,5,5,4,2,3
002099.SZ,海翔药业,2006-12-26,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,B,BB,BB,3,3,3,3,3,3,3,3,2,1,2,2
002100.SZ,天康生物,2006-12-26,BBB,BBB,BBB,BBB,A,A,A,BBB,BBB,A,BB,BB,3,3,3,3,4,4,4,3,3,4,2,2
002101.SZ,广东鸿图,2006-12-29,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,A,A,BBB,3,3,3,3,3,3,3,3,4,4,4,3
002102.SZ,ST冠福,2006-12-29,AA,AA,AA,BB,A,A,AA,A,BB,BBB,B,BB,5,5,5,2,4,4,5,4,2,3,1,2
002103.SZ,广博股份,2007-01-10,BBB,BBB,BBB,AA,AA,AA,AA,AA,A,A,A,BBB,3,3,3,5,5,5,5,5,4,4,4,3
002104.SZ,恒宝股份,2007-01-10,BBB,BBB,BBB,BBB,BBB,BBB,BBB,B,B,BB,BBB,BBB,3,3,3,3,3,3,3,1,1,2,3,3
002105.SZ,信隆健康,2007-01-12,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,BB,3,3,3,3,3,3,3,3,3,2,3,2
002106.SZ,莱宝高科,2007-01-12,BBB,BBB,AA,AA,A,A,AA,AA,A,BBB,BBB,BBB,3,3,5,5,4,4,5,5,4,3,3,3
002107.SZ,沃华医药,2007-01-24,BBB,BBB,BBB,BBB,BBB,BBB,A,A,A,A,A,BB,3,3,3,3,3,3,4,4,4,4,4,2
002108.SZ,沧州明珠,2007-01-24,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,B,3,3,3,3,3,3,3,3,3,3,3,1
002109.SZ,兴化股份,2007-01-26,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,A,3,3,3,3,3,3,3,3,3,3,4,4
002110.SZ,三钢闽光,2007-01-26,BBB,A,A,AA,A,A,AA,AA,AA,A,AA,AA,3,4,4,5,4,4,5,5,5,4,5,5
002111.SZ,威海广泰,2007-01-26,A,A,A,A,A,A,A,A,A,BBB,BB,BBB,4,4,4,4,4,4,4,4,4,3,2,3
002112.SZ,三变科技,2007-02-08,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
002113.SZ,*ST天润,2007-02-08,BBB,CCC,B,CCC,B,BBB,BBB,BBB,BB,BB,CC,B,3,0,1,0,1,3,3,3,2,2,0,1
002114.SZ,罗平锌电,2007-02-15,BBB,BBB,BBB,B,CC,CCC,CC,CCC,B,B,B,BB,3,3,3,1,0,0,0,0,1,1,1,2
002115.SZ,三维通信,2007-02-15,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
002116.SZ,中国海诚,2007-02-15,BBB,BBB,BBB,BBB,A,A,A,BBB,BBB,BBB,BBB,BBB,3,3,3,3,4,4,4,3,3,3,3,3
002117.SZ,东港股份,2007-03-02,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,BBB,BBB,3,3,3,3,3,3,3,3,3,4,3,3
002118.SZ,紫鑫药业,2007-03-02,BBB,BBB,BBB,BBB,BBB,B,B,BB,BB,BBB,B,CCC,3,3,3,3,3,1,1,2,2,3,1,0
002119.SZ,康强电子,2007-03-02,B,BB,BB,BBB,BB,BBB,BBB,BBB,BBB,BBB,BBB,B,1,2,2,3,2,3,3,3,3,3,3,1
002120.SZ,韵达股份,2007-03-06,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,AA,3,3,3,3,3,3,3,3,3,3,4,5
002121.SZ,科陆电子,2007-03-06,BBB,A,AA,AA,AA,AA,AA,A,A,A,BBB,BBB,3,4,5,5,5,5,5,4,4,4,3,3
002122.SZ,*ST天马,2007-03-28,A,AA,AA,AA,AA,AA,AA,AA,BBB,B,CC,B,4,5,5,5,5,5,5,5,3,1,0,1
002123.SZ,梦网科技,2007-03-28,A,A,A,A,BBB,BBB,BBB,BBB,BBB,BB,B,BB,4,4,4,4,3,3,3,3,3,2,1,2
002124.SZ,天邦股份,2007-04-03,BBB,BBB,BBB,BBB,BBB,BB,BBB,BBB,BBB,A,BBB,A,3,3,3,3,3,2,3,3,3,4,3,4
002125.SZ,湘潭电化,2007-04-03,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,A,A,BBB,3,3,3,3,3,3,3,3,4,4,4,3
002126.SZ,银轮股份,2007-04-18,BB,BBB,BBB,BBB,BBB,A,BBB,BBB,BBB,BBB,BBB,A,2,3,3,3,3,4,3,3,3,3,3,4
002127.SZ,南极电商,2007-04-18,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,3,3,3,3,3,3,3,3,3,3,3,2
002128.SZ,露天煤业,2007-04-18,BBB,AA,AA,AA,AA,AA,AA,BBB,BBB,B,BB,BB,3,5,5,5,5,5,5,3,3,1,2,2
002129.SZ,中环股份,2007-04-20,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,AA,AA,AA,AA,3,3,3,3,3,3,3,3,5,5,5,5
002130.SZ,沃尔核材,2007-04-20,A,A,A,A,A,A,A,A,A,BB,B,BBB,4,4,4,4,4,4,4,4,4,2,1,3
002131.SZ,利欧股份,2007-04-27,A,A,A,A,BBB,BBB,BBB,A,BBB,BBB,BB,B,4,4,4,4,3,3,3,4,3,3,2,1
002132.SZ,恒星科技,2007-04-27,BBB,BBB,BB,BBB,BBB,BBB,BB,BB,BB,BB,BB,BBB,3,3,2,3,3,3,2,2,2,2,2,3
002133.SZ,广宇集团,2007-04-27,AAA,AAA,AAA,AA,A,A,A,BBB,A,A,A,A,6,6,6,5,4,4,4,3,4,4,4,4
002134.SZ,天津普林,2007-05-16,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,3,3,3,3,3,3,3,3,3,3,3,2
002135.SZ,东南网架,2007-05-30,BBB,BBB,BBB,BBB,BBB,BBB,BBB,B,B,BB,BB,BBB,3,3,3,3,3,3,3,1,1,2,2,3
002136.SZ,安纳达,2007-05-30,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BB,BBB,3,3,3,3,3,3,3,3,3,2,2,3
002137.SZ,实益达,2007-06-13,A,A,A,A,BBB,A,BBB,BBB,BBB,BBB,BB,B,4,4,4,4,3,4,3,3,3,3,2,1
002138.SZ,顺络电子,2007-06-13,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
002139.SZ,拓邦股份,2007-06-29,BBB,BBB,BBB,BBB,BBB,BB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,2,3,3,3,3,3,3
002140.SZ,东华科技,2007-07-12,BBB,BBB,BBB,BBB,BB,BB,BB,BBB,BB,BB,A,A,3,3,3,3,2,2,2,3,2,2,4,4
002141.SZ,贤丰控股,2007-07-20,BBB,BBB,BB,BB,BBB,BBB,B,BB,BB,B,B,BB,3,3,2,2,3,3,1,2,2,1,1,2
002142.SZ,宁波银行,2007-07-19,AA,AA,AA,AA,AA,AA,AA,AA,A,A,A,A,5,5,5,5,5,5,5,5,4,4,4,4
002144.SZ,宏达高科,2007-08-03,BBB,BBB,BBB,BBB,A,A,AA,AA,AA,AA,AA,AA,3,3,3,3,4,4,5,5,5,5,5,5
002145.SZ,中核钛白,2007-08-03,BB,BB,BB,BBB,BBB,BBB,BB,BB,AA,BBB,A,AA,2,2,2,3,3,3,2,2,5,3,4,5
002146.SZ,荣盛发展,2007-08-08,A,A,A,AAA,AAA,AAA,A,AA,AA,AA,AA,AAA,4,4,4,6,6,6,4,5,5,5,5,6
002147.SZ,*ST新光,2007-08-08,A,A,A,A,A,A,A,BBB,BBB,A,B,B,4,4,4,4,4,4,4,3,3,4,1,1
002148.SZ,北纬科技,2007-08-10,A,A,A,A,A,BBB,BBB,BB,BBB,BBB,A,BBB,4,4,4,4,4,3,3,2,3,3,4,3
002149.SZ,西部材料,2007-08-10,BBB,BBB,BBB,BBB,BBB,A,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,4,3,3,3,3,3,3
002150.SZ,通润装备,2007-08-10,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
002151.SZ,北斗星通,2007-08-13,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,BB,BBB,BBB,BBB,3,3,3,3,3,3,2,3,2,3,3,3
002152.SZ,广电运通,2007-08-13,AA,AA,BBB,BBB,BBB,A,A,A,A,A,BBB,BBB,5,5,3,3,3,4,4,4,4,4,3,3
002153.SZ,石基信息,2007-08-13,AA,AA,AA,AAA,AAA,AAA,AA,AA,AAA,AAA,AAA,AAA,5,5,5,6,6,6,5,5,6,6,6,6
002154.SZ,报喜鸟,2007-08-16,AA,AA,AA,AA,AA,A,BBB,BB,AA,A,AA,AA,5,5,5,5,5,4,3,2,5,4,5,5
002155.SZ,湖南黄金,2007-08-16,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
002156.SZ,通富微电,2007-08-16,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BB,BBB,3,3,3,3,3,3,3,3,3,2,2,3
002157.SZ,正邦科技,2007-08-17,BBB,BBB,BBB,BBB,BBB,BB,BB,BBB,BBB,BB,BB,A,3,3,3,3,3,2,2,3,3,2,2,4
002158.SZ,汉钟精机,2007-08-17,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,A,A,BBB,BBB,3,3,3,3,3,3,3,4,4,4,3,3
002159.SZ,三特索道,2007-08-17,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
002160.SZ,常铝股份,2007-08-21,BBB,BBB,BBB,BBB,BB,BBB,BBB,BBB,BBB,BBB,BB,BBB,3,3,3,3,2,3,3,3,3,3,2,3
002161.SZ,远望谷,2007-08-21,AA,A,BBB,AA,A,A,AA,A,BBB,BBB,A,A,5,4,3,5,4,4,5,4,3,3,4,4
002162.SZ,悦心健康,2007-08-23,AA,AA,AA,AA,AA,AA,A,A,A,AA,AA,AA,5,5,5,5,5,5,4,4,4,5,5,5
002163.SZ,海南发展,2007-08-23,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,CC,B,B,3,3,3,3,3,3,3,3,3,0,1,1
002164.SZ,宁波东力,2007-08-23,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,CCC,B,3,3,3,3,3,3,3,3,3,2,0,1
002165.SZ,红宝丽,2007-09-13,BBB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,3,5,5,5,5,5,5,5,5,5,5,5
002166.SZ,莱茵生物,2007-09-13,AA,AA,A,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,5,5,4,3,3,3,3,3,3,3,2,3
002167.SZ,东方锆业,2007-09-13,BBB,BBB,BBB,BB,BB,BB,BB,B,BB,BBB,BB,BBB,3,3,3,2,2,2,2,1,2,3,2,3
002168.SZ,惠程科技,2007-09-19,BBB,BBB,BB,BB,BB,BB,BBB,BBB,BBB,BB,BBB,BB,3,3,2,2,2,2,3,3,3,2,3,2
002169.SZ,智光电气,2007-09-19,BBB,BBB,BBB,BBB,A,A,A,A,BB,BB,B,B,3,3,3,3,4,4,4,4,2,2,1,1
002170.SZ,芭田股份,2007-09-19,AA,A,BBB,BBB,BBB,AA,AA,AA,AA,BBB,BB,A,5,4,3,3,3,5,5,5,5,3,2,4
002171.SZ,楚江新材,2007-09-21,BBB,BB,BBB,BBB,BBB,BBB,BB,BB,BBB,BBB,BBB,A,3,2,3,3,3,3,2,2,3,3,3,4
002172.SZ,澳洋健康,2007-09-21,BBB,BBB,BBB,BBB,BBB,BB,BBB,BBB,BBB,BB,BB,BB,3,3,3,3,3,2,3,3,3,2,2,2
002173.SZ,创新医疗,2007-09-25,A,A,BBB,BBB,BBB,B,BB,BB,BB,BB,B,CCC,4,4,3,3,3,1,2,2,2,2,1,0
002174.SZ,游族网络,2007-09-25,AA,AA,AA,AA,A,AA,AA,AA,AA,AA,BBB,A,5,5,5,5,4,5,5,5,5,5,3,4
002175.SZ,*ST东网,2007-10-12,AA,AA,A,AA,AA,A,B,BB,BBB,BB,CC,B,5,5,4,5,5,4,1,2,3,2,0,1
002176.SZ,江特电机,2007-10-12,A,A,BBB,BBB,BBB,BBB,BBB,BBB,A,A,A,A,4,4,3,3,3,3,3,3,4,4,4,4
002177.SZ,御银股份,2007-11-01,BBB,BBB,BBB,BBB,A,A,A,BBB,BBB,BBB,BBB,BBB,3,3,3,3,4,4,4,3,3,3,3,3
002178.SZ,延华智能,2007-11-01,BBB,BBB,BBB,BB,BB,BBB,A,AA,A,A,BB,A,3,3,3,2,2,3,4,5,4,4,2,4
002179.SZ,中航光电,2007-11-01,BBB,BBB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,3,3,5,5,5,5,5,5,5,5,5,5
002180.SZ,纳思达,2007-11-13,AA,A,AA,AA,AA,AA,BBB,BBB,A,A,BBB,A,5,4,5,5,5,5,3,3,4,4,3,4
002181.SZ,粤传媒,2007-11-16,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,BB,BB,3,3,3,3,3,3,3,3,2,3,2,2
002182.SZ,云海金属,2007-11-13,BBB,BBB,BBB,BBB,A,BB,BBB,BBB,A,CC,BB,BBB,3,3,3,3,4,2,3,3,4,0,2,3
002183.SZ,怡亚通,2007-11-13,BBB,BB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,3,2,3,3,3,3,3,3,3,3,2,3
002184.SZ,海得控制,2007-11-16,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BB,BB,BB,BBB,3,3,3,3,3,3,3,2,2,2,2,3
002185.SZ,华天科技,2007-11-20,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,BBB,A,A,A,3,3,3,3,3,3,3,4,3,4,4,4
002186.SZ,全聚德,2007-11-20,A,A,A,A,A,A,A,A,A,A,BBB,BBB,4,4,4,4,4,4,4,4,4,4,3,3
002187.SZ,广百股份,2007-11-22,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
002188.SZ,*ST巴士,2007-11-22,BBB,BBB,BBB,BBB,BB,BB,BBB,BBB,BBB,B,B,B,3,3,3,3,2,2,3,3,3,1,1,1
002189.SZ,中光学,2007-12-03,BBB,BBB,BBB,BBB,AA,AA,A,A,AA,AA,AA,AA,3,3,3,3,5,5,4,4,5,5,5,5
002190.SZ,成飞集成,2007-12-03,BBB,BBB,BBB,BBB,BBB,A,A,BBB,A,A,BBB,BBB,3,3,3,3,3,4,4,3,4,4,3,3
002191.SZ,劲嘉股份,2007-12-05,BBB,B,BB,CCC,BB,BBB,BBB,BBB,A,BBB,BB,BBB,3,1,2,0,2,3,3,3,4,3,2,3
002192.SZ,融捷股份,2007-12-05,BBB,BBB,BB,BBB,BB,BB,BBB,BBB,BBB,BBB,B,B,3,3,2,3,2,2,3,3,3,3,1,1
002193.SZ,如意集团,2007-12-07,BBB,BB,BB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BB,3,2,2,3,3,3,3,3,3,3,2,2
002194.SZ,武汉凡谷,2007-12-07,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,B,CCC,BB,BBB,3,3,3,3,3,3,3,4,1,0,2,3
002195.SZ,二三四五,2007-12-12,A,A,A,A,A,A,A,A,A,BBB,BBB,A,4,4,4,4,4,4,4,4,4,3,3,4
002196.SZ,方正电机,2007-12-12,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BB,3,3,3,3,3,3,3,3,3,3,2,2
002197.SZ,证通电子,2007-12-18,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,B,BB,3,3,3,3,3,3,3,3,3,3,1,2
002198.SZ,嘉应制药,2007-12-18,AA,AA,BBB,BBB,BBB,BBB,BBB,BBB,BB,B,B,BB,5,5,3,3,3,3,3,3,2,1,1,2
002199.SZ,东晶电子,2007-12-21,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BB,B,BB,3,3,3,3,3,3,3,3,2,2,1,2
002200.SZ,ST云投,2007-12-21,AA,BB,B,BB,CCC,B,BB,BBB,BB,BB,BB,BBB,5,2,1,2,0,1,2,3,2,2,2,3
002201.SZ,九鼎新材,2007-12-26,BBB,BBB,BBB,BBB,BB,BB,BBB,BB,BB,BBB,BBB,BBB,3,3,3,3,2,2,3,2,2,3,3,3
002202.SZ,金风科技,2007-12-26,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
002203.SZ,海亮股份,2008-01-16,AA,AA,AA,A,AA,A,AA,A,AA,A,A,A,5,5,5,4,5,4,5,4,5,4,4,4
002204.SZ,大连重工,2008-01-16,BBB,BBB,BBB,BBB,BB,BBB,BBB,B,BBB,BBB,A,A,3,3,3,3,2,3,3,1,3,3,4,4
002205.SZ,国统股份,2008-01-23,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
002206.SZ,海利得,2008-01-23,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,B,BB,BBB,A,3,3,3,3,3,3,3,3,1,2,3,4
002207.SZ,准油股份,2008-01-28,BBB,BB,BB,BBB,BB,BBB,BB,BBB,CCC,B,B,BB,3,2,2,3,2,3,2,3,0,1,1,2
002208.SZ,合肥城建,2008-01-28,A,A,A,A,A,A,BBB,BBB,A,A,A,A,4,4,4,4,4,4,3,3,4,4,4,4
002209.SZ,达意隆,2008-01-30,BBB,BBB,BBB,BBB,A,A,A,BBB,A,A,BBB,BBB,3,3,3,3,4,4,4,3,4,4,3,3
